filename,emotion,difficulty
ck_0000.png,Neutral,0.5
ck_0001.png,Neutral,0.5
ck_0002.png,Neutral,0.5
ck_0003.png,Neutral,0.5
ck_0004.png,Neutral,0.5
ck_0005.png,Neutral,0.5
ck_0006.png,Neutral,0.5
ck_0007.png,Neutral,0.5
ck_0008.png,Neutral,0.5
ck_0009.png,Neutral,0.5
ck_0010.png,Neutral,0.5
ck_0011.png,Neutral,0.5
ck_0012.png,Neutral,0.5
ck_0013.png,Neutral,0.5
ck_0014.png,Neutral,0.5
ck_0015.png,Neutral,0.5
ck_0016.png,Neutral,0.5
ck_0017.png,Neutral,0.5
ck_0018.png,Neutral,0.5
ck_0019.png,Neutral,0.5
ck_0020.png,Neutral,0.5
ck_0021.png,Neutral,0.5
ck_0022.png,Neutral,0.5
ck_0023.png,Neutral,0.5
ck_0024.png,Neutral,0.5
ck_0025.png,Neutral,0.5
ck_0026.png,Neutral,0.5
ck_0027.png,Neutral,0.5
ck_0028.png,Neutral,0.5
ck_0029.png,Neutral,0.5
ck_0030.png,Neutral,0.5
ck_0031.png,Neutral,0.5
ck_0032.png,Neutral,0.5
ck_0033.png,Neutral,0.5
ck_0034.png,Neutral,0.5
ck_0035.png,Neutral,0.5
ck_0036.png,Neutral,0.5
ck_0037.png,Neutral,0.5
ck_0038.png,Neutral,0.5
ck_0039.png,Neutral,0.5
ck_0040.png,Neutral,0.5
ck_0041.png,Neutral,0.5
ck_0042.png,Neutral,0.5
ck_0043.png,Neutral,0.5
ck_0044.png,Neutral,0.5
ck_0045.png,Neutral,0.5
ck_0046.png,Neutral,0.5
ck_0047.png,Neutral,0.5
ck_0048.png,Neutral,0.5
ck_0049.png,Neutral,0.5
ck_0050.png,Neutral,0.5
ck_0051.png,Neutral,0.5
ck_0052.png,Neutral,0.5
ck_0053.png,Neutral,0.5
ck_0054.png,Neutral,0.5
ck_0055.png,Neutral,0.5
ck_0056.png,Neutral,0.5
ck_0057.png,Neutral,0.5
ck_0058.png,Neutral,0.5
ck_0059.png,Neutral,0.5
ck_0060.png,Neutral,0.5
ck_0061.png,Neutral,0.5
ck_0062.png,Neutral,0.5
ck_0063.png,Neutral,0.5
ck_0064.png,Neutral,0.5
ck_0065.png,Neutral,0.5
ck_0066.png,Neutral,0.5
ck_0067.png,Neutral,0.5
ck_0068.png,Neutral,0.5
ck_0069.png,Neutral,0.5
ck_0070.png,Neutral,0.5
ck_0071.png,Neutral,0.5
ck_0072.png,Neutral,0.5
ck_0073.png,Neutral,0.5
ck_0074.png,Neutral,0.5
ck_0075.png,Neutral,0.5
ck_0076.png,Neutral,0.5
ck_0077.png,Neutral,0.5
ck_0078.png,Neutral,0.5
ck_0079.png,Neutral,0.5
ck_0080.png,Neutral,0.5
ck_0081.png,Neutral,0.5
ck_0082.png,Neutral,0.5
ck_0083.png,Neutral,0.5
ck_0084.png,Neutral,0.5
ck_0085.png,Neutral,0.5
ck_0086.png,Neutral,0.5
ck_0087.png,Neutral,0.5
ck_0088.png,Neutral,0.5
ck_0089.png,Neutral,0.5
ck_0090.png,Neutral,0.5
ck_0091.png,Neutral,0.5
ck_0092.png,Neutral,0.5
ck_0093.png,Neutral,0.5
ck_0094.png,Neutral,0.5
ck_0095.png,Neutral,0.5
ck_0096.png,Neutral,0.5
ck_0097.png,Neutral,0.5
ck_0098.png,Neutral,0.5
ck_0099.png,Neutral,0.5
ck_0100.png,Neutral,0.5
ck_0101.png,Neutral,0.5
ck_0102.png,Neutral,0.5
ck_0103.png,Neutral,0.5
ck_0104.png,Neutral,0.5
ck_0105.png,Neutral,0.5
ck_0106.png,Neutral,0.5
ck_0107.png,Neutral,0.5
ck_0108.png,Neutral,0.5
ck_0109.png,Neutral,0.5
ck_0110.png,Neutral,0.5
ck_0111.png,Neutral,0.5
ck_0112.png,Neutral,0.5
ck_0113.png,Neutral,0.5
ck_0114.png,Neutral,0.5
ck_0115.png,Neutral,0.5
ck_0116.png,Neutral,0.5
ck_0117.png,Neutral,0.5
ck_0118.png,Neutral,0.5
ck_0119.png,Neutral,0.5
ck_0120.png,Neutral,0.5
ck_0121.png,Neutral,0.5
ck_0122.png,Neutral,0.5
ck_0123.png,Neutral,0.5
ck_0124.png,Neutral,0.5
ck_0125.png,Neutral,0.5
ck_0126.png,Neutral,0.5
ck_0127.png,Neutral,0.5
ck_0128.png,Neutral,0.5
ck_0129.png,Neutral,0.5
ck_0130.png,Neutral,0.5
ck_0131.png,Neutral,0.5
ck_0132.png,Neutral,0.5
ck_0133.png,Neutral,0.5
ck_0134.png,Neutral,0.5
ck_0135.png,Neutral,0.5
ck_0136.png,Neutral,0.5
ck_0137.png,Neutral,0.5
ck_0138.png,Neutral,0.5
ck_0139.png,Neutral,0.5
ck_0140.png,Neutral,0.5
ck_0141.png,Neutral,0.5
ck_0142.png,Neutral,0.5
ck_0143.png,Neutral,0.5
ck_0144.png,Neutral,0.5
ck_0145.png,Neutral,0.5
ck_0146.png,Neutral,0.5
ck_0147.png,Neutral,0.5
ck_0148.png,Neutral,0.5
ck_0149.png,Neutral,0.5
ck_0150.png,Neutral,0.5
ck_0151.png,Neutral,0.5
ck_0152.png,Neutral,0.5
ck_0153.png,Neutral,0.5
ck_0154.png,Neutral,0.5
ck_0155.png,Neutral,0.5
ck_0156.png,Neutral,0.5
ck_0157.png,Neutral,0.5
ck_0158.png,Neutral,0.5
ck_0159.png,Neutral,0.5
ck_0160.png,Neutral,0.5
ck_0161.png,Neutral,0.5
ck_0162.png,Neutral,0.5
ck_0163.png,Neutral,0.5
ck_0164.png,Neutral,0.5
ck_0165.png,Neutral,0.5
ck_0166.png,Neutral,0.5
ck_0167.png,Neutral,0.5
ck_0168.png,Neutral,0.5
ck_0169.png,Neutral,0.5
ck_0170.png,Neutral,0.5
ck_0171.png,Neutral,0.5
ck_0172.png,Neutral,0.5
ck_0173.png,Neutral,0.5
ck_0174.png,Neutral,0.5
ck_0175.png,Neutral,0.5
ck_0176.png,Neutral,0.5
ck_0177.png,Neutral,0.5
ck_0178.png,Neutral,0.5
ck_0179.png,Neutral,0.5
ck_0180.png,Neutral,0.5
ck_0181.png,Neutral,0.5
ck_0182.png,Neutral,0.5
ck_0183.png,Neutral,0.5
ck_0184.png,Neutral,0.5
ck_0185.png,Neutral,0.5
ck_0186.png,Neutral,0.5
ck_0187.png,Neutral,0.5
ck_0188.png,Neutral,0.5
